experiment_name,split_strategy,n_features,n_seeds,test_bal_acc_mean,test_bal_acc_std,test_f1_mean,test_f1_std,test_kappa_mean,test_kappa_std,timestamp
ecg,participant,13,20,0.3685144485144485,0.0376650222153917,0.3591795569698923,0.0393665492441543,0.0529065655181402,0.056649132612608,2025-10-18T12:08:03.782140
pose_perf,participant,114,20,0.6523132183908046,0.0479234855309316,0.6482484174195171,0.0501888667891574,0.4785059416322534,0.0718539344029704,2025-10-18T12:10:59.484703
pose_eye,participant,91,20,0.3698747543660787,0.0431445015134078,0.3564189427466008,0.0447694749667031,0.0534797079050101,0.0640517764308645,2025-10-18T12:13:28.765362
pose_gsr,participant,36,20,0.3567566160613387,0.03531074060773,0.3400887474619295,0.0389603709988835,0.0350587661117847,0.0529329602132036,2025-10-18T12:16:56.495270
pose_ecg,participant,148,20,0.3475163706846874,0.0373485994425212,0.3308748702311328,0.0408870819844367,0.0205179683880329,0.05577389857878,2025-10-18T12:19:28.374420
perf_eye,participant,16,20,0.6908382393470233,0.0472131758857021,0.6902359605858954,0.0484434909914033,0.5350624702550777,0.0712782314531868,2025-10-18T12:19:57.987151
perf_gsr,participant,15,20,0.7218363059461261,0.0332582920542536,0.7228037319821751,0.0338530146656346,0.5822919148067076,0.0500364544037181,2025-10-18T12:20:24.433975
perf_ecg,participant,37,20,0.6837830687830687,0.0358340967128968,0.68662836663344,0.037820022100329,0.526276383991921,0.0535200583044482,2025-10-18T12:21:34.847802
eye_gsr,participant,12,20,0.4074948538313151,0.0446615102922995,0.3943683855508167,0.0434867962800966,0.1087790533877842,0.06528811180559,2025-10-18T12:22:01.963187
eye_ecg,participant,24,20,0.3983479708099058,0.0458818985921962,0.3830850687098197,0.0475381007069722,0.0958979743651878,0.0662579119997325,2025-10-18T12:23:43.582156
gsr_ecg,participant,14,20,0.3935076058201058,0.0498427023428416,0.3883624809037991,0.0503622652693646,0.0897470005860871,0.0746304531938753,2025-10-18T12:25:22.580191
pose_perf_eye,participant,96,20,0.663437650252154,0.0400218826363056,0.6577075612317226,0.0445184144940679,0.4930717821391252,0.060457276568616,2025-10-18T12:28:14.541828
pose_perf_gsr,participant,115,20,0.6592266085425755,0.0307871237366339,0.6561979672431478,0.0313535345081694,0.4886617151717075,0.0461164629492334,2025-10-18T12:30:09.579851
pose_perf_ecg,participant,124,20,0.6353166745245952,0.0462798672751356,0.6291015165155421,0.0534209635194095,0.4534324930262216,0.0702988743184694,2025-10-18T12:33:01.504910
pose_eye_gsr,participant,59,20,0.4026247601239348,0.0392199976484054,0.383849031939533,0.0464523470650507,0.1032393047763191,0.0586597603667988,2025-10-18T12:35:51.385822
pose_eye_ecg,participant,64,20,0.4039123901987363,0.0504769368901479,0.3754466327323856,0.0527384862451826,0.1022705208704701,0.074192276270869,2025-10-18T12:40:13.505485
pose_gsr_ecg,participant,50,20,0.346512834616795,0.0350969865158152,0.3291603565986882,0.0313169703240461,0.0191559167635465,0.0529305125101799,2025-10-18T12:44:25.782030
perf_eye_gsr,participant,16,20,0.7106026688691749,0.0384484076221753,0.7108880831672775,0.0412607146373557,0.5648496979347353,0.0580801496193861,2025-10-18T12:44:58.007833
perf_eye_ecg,participant,28,20,0.6885593521719233,0.046256952890367,0.6894184219859416,0.0483076472471018,0.530321927688943,0.071271094544604,2025-10-18T12:46:52.532365
perf_gsr_ecg,participant,17,20,0.6942533068783068,0.0355526728563418,0.6964421163820456,0.0364439125524152,0.5407024651255788,0.053936676262734,2025-10-18T12:48:40.216094
eye_gsr_ecg,participant,26,20,0.4045244329550693,0.0437751231644722,0.3903850197889063,0.0481404766943148,0.1055999820124592,0.0632140396198681,2025-10-18T12:50:34.442372
pose_perf_eye_gsr,participant,120,20,0.6667452689893462,0.0352063132294005,0.6604835283287958,0.0389282095580487,0.4984890483534386,0.054261367002387,2025-10-18T12:52:47.347423
pose_perf_eye_ecg,participant,103,20,0.6443706367842369,0.0356663033921647,0.6339708631672724,0.0437611805972005,0.4621967031942587,0.0551174220141641,2025-10-18T12:56:15.337578
pose_perf_gsr_ecg,participant,156,20,0.6337711312797947,0.0407213249690764,0.6271961146611222,0.048090820286312,0.4507929642469611,0.0616562952334777,2025-10-18T12:59:38.554361
pose_eye_gsr_ecg,participant,52,20,0.4236948734505746,0.0483591614571321,0.4025162272918221,0.0485068192283345,0.1313547602192595,0.0712539638522512,2025-10-18T13:04:14.414208
perf_eye_gsr_ecg,participant,29,20,0.6830497789897412,0.0430366128202599,0.6842022519499774,0.0438753882237159,0.5215838935406414,0.06645520368001,2025-10-18T13:05:53.088512
all_modalities,participant,104,20,0.6555799465341439,0.0438844918444886,0.6468051606982836,0.0506721304759347,0.4793037147000605,0.0665692154811072,2025-10-18T13:09:13.467523
pose,participant,46,20,0.3337904061822637,0.0396425680950094,0.3263146222322327,0.0381609342226426,0.0007574707318248,0.0594972230920125,2025-10-18T13:49:28.074260
performance,participant,10,20,0.71875,0.0387515850982682,0.7204107753850362,0.0388910906733772,0.5781250000000002,0.0581273776474024,2025-10-18T13:49:46.340855
eye,participant,10,20,0.4002417710193101,0.0329414469788598,0.3854392669124898,0.0293114916438049,0.0984387969620408,0.0490305929985957,2025-10-18T13:49:59.535916
gsr,participant,5,20,0.3647109103106104,0.03173485103296897,0.3534784555439239,0.03307126994311602,0.04673812362820222,0.04727394446065041,2025-10-18T13:50:06.661252
